source_position_id,display_job_id,requisition_id,title,primary_location,all_locations,department,profession,discipline,employment_type,posted_date,canonical_url,found_via_category,found_via_title_search,review_status,review_notes,discovery_methods,captured_at
1970393556999267,200055932,200055932,Investment Governance Lead - Windows Consumer Category,"United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, San Francisco"", ""United States, California, Los Angeles""]",Category Management,"[""Marketing""]","[""Category Management""]","[""Full-Time""]",2026-09-17T17:15:23+00:00,https://apply.careers.microsoft.com/careers/job/1970393556999267,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556942198,200044909,200044909,"Principal Applied Science Manager - Foundation Models, Agents & Trust Systems","India, Karnataka, Bangalore","[""India, Karnataka, Bangalore""]",Applied Sciences,"[""Research, Applied, & Data Sciences""]","[""Applied Sciences""]","[""Full-Time""]",2026-07-27T04:19:53+00:00,https://apply.careers.microsoft.com/careers/job/1970393556942198,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556979936,200050704,200050704,"Principal Applied Science Manager - The Media Intelligence Team, IC3 Media Steaming M365 Core","United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, Mountain View""]",Applied Sciences,"[""Research, Applied, & Data Sciences""]","[""Applied Sciences""]","[""Full-Time""]",2026-09-10T21:48:15+00:00,https://apply.careers.microsoft.com/careers/job/1970393556979936,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556980524,200051164,200051164,Principal Applied scientist,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad""]",Applied Sciences,"[""Research, Applied, & Data Sciences""]","[""Applied Sciences""]","[""Full-Time""]",2026-09-10T07:55:24+00:00,https://apply.careers.microsoft.com/careers/job/1970393556980524,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556868375,200038055,200038055,Principal Engineering Manager,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-09-04T08:30:21+00:00,https://apply.careers.microsoft.com/careers/job/1970393556868375,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556939533,200044258,200044258,Principal Group Engineering Manager,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-08-05T08:54:40+00:00,https://apply.careers.microsoft.com/careers/job/1970393556939533,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556994857,200055309,200055309,Principal Machine Learning Scientist,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Data Science,"[""Research, Applied, & Data Sciences""]","[""Data Science""]","[""Full-Time""]",2026-09-14T19:49:46+00:00,https://apply.careers.microsoft.com/careers/job/1970393556994857,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556962542,200048891,200048891,Principal Product Management,"India, Karnataka, Bangalore","[""India, Karnataka, Bangalore""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-02T14:09:49+00:00,https://apply.careers.microsoft.com/careers/job/1970393556962542,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management"", ""title_search: Product Owner"", ""title_search: Principal Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556859132,200035012,200035012,Principal Product Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-05-21T15:59:02+00:00,https://apply.careers.microsoft.com/careers/job/1970393556859132,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556859707,200035179,200035179,Principal Product Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-07-13T20:02:17+00:00,https://apply.careers.microsoft.com/careers/job/1970393556859707,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556944352,200045382,200045382,Principal Product Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-07-28T21:06:56+00:00,https://apply.careers.microsoft.com/careers/job/1970393556944352,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556944984,200045492,200045492,Principal Product Manager,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-08-25T09:17:33+00:00,https://apply.careers.microsoft.com/careers/job/1970393556944984,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management"", ""title_search: Product Manager II""]",2026-09-22T11:10:48.738604+00:00
1970393556971845,200049390,200049390,Principal Product Manager,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-08-18T11:29:58+00:00,https://apply.careers.microsoft.com/careers/job/1970393556971845,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556979788,200050555,200050555,Principal Product Manager,"Canada, British Columbia, Vancouver","[""Canada, British Columbia, Vancouver""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-21T13:53:29+00:00,https://apply.careers.microsoft.com/careers/job/1970393556979788,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556981813,200051805,200051805,Principal Product Manager,"United States, New York, New York","[""United States, New York, New York""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-08-26T23:03:26+00:00,https://apply.careers.microsoft.com/careers/job/1970393556981813,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556983966,200052782,200052782,Principal Product Manager,"India, Karnataka, Bangalore","[""India, Karnataka, Bangalore""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-04T10:42:49+00:00,https://apply.careers.microsoft.com/careers/job/1970393556983966,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556984163,200052860,200052860,Principal Product Manager,United States,"[""United States""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-21T19:23:08+00:00,https://apply.careers.microsoft.com/careers/job/1970393556984163,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556985606,200053275,200053275,Principal Product Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-09T16:41:13+00:00,https://apply.careers.microsoft.com/careers/job/1970393556985606,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556988884,200053810,200053810,Principal Product Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-17T20:46:35+00:00,https://apply.careers.microsoft.com/careers/job/1970393556988884,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556991993,200054551,200054551,Principal Product Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-11T18:03:24+00:00,https://apply.careers.microsoft.com/careers/job/1970393556991993,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556997831,200055624,200055624,Principal Product Manager,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad"", ""India, Karnataka, Bangalore""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-17T10:39:12+00:00,https://apply.careers.microsoft.com/careers/job/1970393556997831,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556998872,200055864,200055864,Principal Product Manager,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad"", ""India, Karnataka, Bangalore""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-16T09:15:26+00:00,https://apply.careers.microsoft.com/careers/job/1970393556998872,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556939407,200044192,200044192,Principal Product Manager - Azure Speech (CoreAI),"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-01T16:45:17+00:00,https://apply.careers.microsoft.com/careers/job/1970393556939407,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556984595,200053031,200053031,Principal Product Manager(Work IQ),"China, Jiangsu, Suzhou","[""China, Jiangsu, Suzhou"", ""China, Shanghai, Shanghai"", ""China, Beijing, Beijing""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-03T07:12:08+00:00,https://apply.careers.microsoft.com/careers/job/1970393556984595,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556995531,200055495,200055495,"Principal Product Manager, AI Infrastructure","United States, Multiple Locations, Multiple Locations","[""United States, Multiple Locations, Multiple Locations""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-11T22:54:25+00:00,https://apply.careers.microsoft.com/careers/job/1970393556995531,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556955501,200046624,200046624,"Principal Product Manager, Content Product","United States, California, Mountain View","[""United States, California, Mountain View"", ""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-08-06T00:43:06+00:00,https://apply.careers.microsoft.com/careers/job/1970393556955501,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556860577,200035488,200035488,"Principal Product Manager, Data Science & Market Research","United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-08-04T20:11:32+00:00,https://apply.careers.microsoft.com/careers/job/1970393556860577,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556982032,200051919,200051919,"Principal Product Manager, Gaming Monetization","United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, Mountain View""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-15T19:10:21+00:00,https://apply.careers.microsoft.com/careers/job/1970393556982032,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management"", ""title_search: Product Lead""]",2026-09-22T11:10:48.738604+00:00
1970393556956241,200046918,200046918,"Principal Product Manager, Personalization AI","United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, New York, New York"", ""United States, California, Mountain View""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-08-06T18:25:25+00:00,https://apply.careers.microsoft.com/careers/job/1970393556956241,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556983152,200052575,200052575,"Principal Product Manager, Search Ads- Retail Lead","United States, Washington, Redmond","[""United States, Washington, Redmond"", ""United States, California, Mountain View""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-14T17:59:34+00:00,https://apply.careers.microsoft.com/careers/job/1970393556983152,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management"", ""title_search: Product Lead""]",2026-09-22T11:10:48.738604+00:00
1970393556982816,200052415,200052415,Principal Product Manager- Agentic Security,"United States, Multiple Locations, Multiple Locations","[""United States, Multiple Locations, Multiple Locations""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-04T22:39:27+00:00,https://apply.careers.microsoft.com/careers/job/1970393556982816,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556960709,200048258,200048258,Principal Product Manager- Early Adoption,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-08-19T17:59:41+00:00,https://apply.careers.microsoft.com/careers/job/1970393556960709,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556985266,200053208,200053208,Principal Product Manager/JV General Manager,"China, Beijing, Beijing","[""China, Beijing, Beijing""]",Product Management,"[""Product Management""]","[""Product Management""]","[""Full-Time""]",2026-09-03T06:02:08+00:00,https://apply.careers.microsoft.com/careers/job/1970393556985266,True,True,REVIEW,Source candidate; no PM classification. ,"[""microsoft_product_management_category"", ""microsoft_product_management_discipline"", ""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556995339,200055411,200055411,Principal Program Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Supply Chain Program Management,"[""Supply Chain""]","[""Supply Chain Program Management""]","[""Full-Time""]",2026-09-21T18:26:46+00:00,https://apply.careers.microsoft.com/careers/job/1970393556995339,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556941469,200044643,200044643,Principal Program Manager (Silicon Planning & Partnership),"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Partner Enablement Program Mgmt,"[""Program Management""]","[""Partner Enablement Program Mgmt""]","[""Full-Time""]",2026-09-17T23:04:05+00:00,https://apply.careers.microsoft.com/careers/job/1970393556941469,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Manager"", ""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556999399,200056025,200056025,"Principal Program Manager, Partner Developer Relations - Minecraft","United States, Washington, Redmond","[""United States, Washington, Redmond""]",Partner Enablement Program Mgmt,"[""Program Management""]","[""Partner Enablement Program Mgmt""]","[""Full-Time""]",2026-09-17T23:51:38+00:00,https://apply.careers.microsoft.com/careers/job/1970393556999399,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556914100,200041405,200041405,"Principal Researcher, Office Product Group","United States, Washington, Redmond","[""United States, Washington, Redmond""]",Applied Sciences,"[""Research, Applied, & Data Sciences""]","[""Applied Sciences""]","[""Full-Time""]",2026-06-26T20:57:39+00:00,https://apply.careers.microsoft.com/careers/job/1970393556914100,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556958439,200047569,200047569,Principal SW Engineering Manager--Win365 Team,"China, Jiangsu, Suzhou","[""China, Jiangsu, Suzhou""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-09-16T16:00:00+00:00,https://apply.careers.microsoft.com/careers/job/1970393556958439,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556995382,200055443,200055443,Principal Security Program Manager,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Security Assurance,"[""Security Engineering""]","[""Security Assurance""]","[""Full-Time""]",2026-09-18T20:57:25+00:00,https://apply.careers.microsoft.com/careers/job/1970393556995382,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556862761,200036357,200036357,Principal Software Engineer,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-04-30T05:08:33+00:00,https://apply.careers.microsoft.com/careers/job/1970393556862761,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556866286,200037279,200037279,Principal Software Engineer,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-05-12T22:40:55+00:00,https://apply.careers.microsoft.com/careers/job/1970393556866286,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Manager""]",2026-09-22T11:10:48.738604+00:00
1970393556955841,200046817,200046817,Principal Software Engineer,"India, Telangana, Hyderabad","[""India, Telangana, Hyderabad""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-09-22T09:48:10+00:00,https://apply.careers.microsoft.com/careers/job/1970393556955841,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556994911,200055323,200055323,Principal Software Engineer,"India, Karnataka, Bangalore","[""India, Karnataka, Bangalore""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-09-17T10:57:29+00:00,https://apply.careers.microsoft.com/careers/job/1970393556994911,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
1970393556872959,200039405,200039405,Principal Software Engineer - Architect,"United States, Washington, Redmond","[""United States, Washington, Redmond""]",Software Engineering,"[""Software Engineering""]","[""Software Engineering""]","[""Full-Time""]",2026-08-12T18:07:27+00:00,https://apply.careers.microsoft.com/careers/job/1970393556872959,False,True,REVIEW,Source candidate; no PM classification. Outside Microsoft PM taxonomy; verify relevance. ,"[""title_search: Product Management""]",2026-09-22T11:10:48.738604+00:00
